Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 17:54:38,2017-06-23 17:55:08,30.080s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 17:54:38,2017-06-23 17:55:08,29.728s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 17:54:38,2017-06-23 17:54:42,3.494s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-23 17:54:42,2017-06-23 17:54:43,1.165s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 17:54:43,2017-06-23 17:55:04,21.226s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 17:55:04,2017-06-23 17:55:05,0.549s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:55:05,2017-06-23 17:55:05,0.180s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 17:55:05,2017-06-23 17:55:06,0.572s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 17:55:06,2017-06-23 17:55:06,0.276s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 17:55:06,2017-06-23 17:55:06,0.515s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 17:55:06,2017-06-23 17:55:07,0.197s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 17:55:07,2017-06-23 17:55:07,0.503s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:55:07,2017-06-23 17:55:08,0.502s,FAILED
