Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 13:11:07,2017-06-26 13:11:49,42.815s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 13:11:07,2017-06-26 13:11:49,42.464s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 13:11:07,2017-06-26 13:11:11,3.365s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 13:11:11,2017-06-26 13:11:12,1.212s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 13:11:12,2017-06-26 13:11:14,2.113s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 13:11:14,2017-06-26 13:11:18,3.730s,PASSED
submit,Chrome 59.0.3071.109,,2017-06-26 13:11:18,2017-06-26 13:11:18,0.096s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-26 13:11:18,2017-06-26 13:11:18,0.198s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 13:11:18,2017-06-26 13:11:49,31.199s,FAILED
