Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-27 18:33:36,2017-06-27 18:36:09,2m - 32.978s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-27 18:33:36,2017-06-27 18:36:09,2m - 32.519s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-27 18:33:37,2017-06-27 18:33:41,3.617s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-27 18:33:41,2017-06-27 18:33:42,1.207s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-27 18:33:42,2017-06-27 18:34:47,1m - 5.450s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-27 18:34:47,2017-06-27 18:34:48,0.315s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 18:34:48,2017-06-27 18:34:48,0.170s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 18:34:48,2017-06-27 18:35:37,48.766s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 18:35:37,2017-06-27 18:35:37,0.176s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 18:35:37,2017-06-27 18:35:37,0.713s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 18:35:37,2017-06-27 18:36:09,31.575s,FAILED
